product_id,product_name,product_class,category_hierarchy,product_description,product_features,rating_count,average_rating,review_count,embed_text
32193,woven wire basket,"Boxes, Bins, Baskets, & Buckets",Storage & Organization / Storage Containers & Drawers / All Storage Containers,,overalldepth-fronttoback:18|producttype : basket|features : stackable|overallheight-toptobottom:11.25|overalldepth-fronttoback:14|overallheight-toptobottom:16.75|style : coastal|lifestage : adult|overallwidth-sidetoside:10|primarymaterial : wicker|shape : round|overallwidth-sidetoside:18|overalldepth-fronttoback:10|overallheight-toptobottom:20.5|color : brown|overallproductweight:4|overallwidth-sidetoside:14|countryoforigin : viet nam|overallproductweight:5|holidayoccasion : no holiday|setsize:1|overallproductweight:2|compositewoodproductcwp : no|wheelsincluded : no|lidincluded : no|linerincluded : no|woven : yes|handlesincluded : yes,21.0,5.0,19.0,"woven wire basket Boxes, Bins, Baskets, & Buckets"
21379,scallop nightstand,Kids Nightstands,Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Nightstands / Green Kids Nightstands,the scallop collection shows off its charming and lovely design with the scallop end table . this piece portrays an elegant wave-like detail that your child will adore . your child 's favorite books and keepsakes can be placed on top which can be at arms reach next to their bed .,framematerialdetails : mdf and plywood|theme : neutral|framematerial : manufactured wood|overallheight-toptobottom:27|countryoforigin : united states| : kid|overallproductweight:30|warrantylength:1 year|topmaterial : manufactured wood|style : modern & contemporary|legdesign : cabriole legs|overalldepth-fronttoback:19.5|topmaterialdetails : mdf and plywood|sor2016-193-surfacecoatingmaterialsregulations : no|shelves : no|doorsincluded : no|tabledesign : no|drawers : no|exteriorshelvingincluded : no|exteriorshelves : no|adultassemblyrequired : no|cabinets : no|lightingincluded : no|openshelfbase : no|shelvingincluded : no|openback : no|drawersincluded : no|minnesota325f177compliant : no|compositewoodproductcwp : yes|legs : yes|cpsc-15u.s.code§1278a-children ’ sproductscontaininglead : yes|productwarranty : yes|cpsc-16cfr1303compliant : yes|sor2018-83-consumerproductscontainingleadregulations : yes|fullorlimitedwarranty : limited|naturalvariationtype : no natural variation,2.0,5.0,2.0,scallop nightstand Kids Nightstands
42275,ybm home stainless steel colander,"Strainers, Colanders, & Salad Spinners","Kitchen & Tabletop / Kitchen Utensils & Tools / Colanders, Strainers, & Salad Spinners","this stainless steel colander with side handles will come in handy in your busy kitchen . the raised base keeps food away from the sink and countertop surfaces . made of durable , sanitary stainless steel .",overalldepth-fronttoback:11|overallproductweight:0.68|producttype : colander|overallproductweight:0.56|overallwidth-sidetoside:13|material : stainless steel|overallheight-toptobottom:5|countryoforigin : india|overallwidth-sidetoside:11.5|overalldepth-fronttoback:8.38|productcare : dishwasher safe|color : stainless steel|mesh : no|collapsible : no|handheld : yes| : yes,26.0,4.5,15.0,"ybm home stainless steel colander Strainers, Colanders, & Salad Spinners"
29885,oneida 2 piece stainless steel strainer set,"Strainers, Colanders, & Salad Spinners","Kitchen & Tabletop / Kitchen Utensils & Tools / Colanders, Strainers, & Salad Spinners",,producttype : strainer set|materialfinish : stainless steel|warrantylength : lifetime|material : stainless steel|reasonforrestriction : distribution conflict|countryoforigin-additionaldetails : made in china|setcapacitiesquarts:1 and 5|setdimensionsin:13.25 x 5.5 x 2 and 15.5 x 8 x 3|productcare : dishwasher safe|color : stainless|overallproductweight:0.8|fullorlimitedwarranty : full|numberofpiecesincluded:2|nsfcertified : no|cullisted : no|ullisted : no|commercialwarranty : no|ista3aor6acertified : no|firerated : no| : no|collapsible : no|mesh : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|handheld : yes|canadaproductrestriction : yes|productwarranty : yes|countryoforigin : china|supplierintendedandapproveduse : residential use,1.0,5.0,1.0,"oneida 2 piece stainless steel strainer set Strainers, Colanders, & Salad Spinners"
8194,ryland platform bed frame,Bed Frames|Beds,,"update the look of your room by adding the upholstered platform bed frame . this tailored platform frame creates a soft and stylish effect that works well in a variety of bedrooms . it is constructed with metal tubing that is not only strong but lightweight and long-lasting . designed with exceptional quality , the upholstered bed frame can be used as a bed or a foundation with any mattress size or type ; no box-spring is needed . the low-profile bed frame has strong center support with a durable wooden slat support system .",color : black|overallwidth-sidetoside:60|overalllength-headtotoe:75|overallheight-toptobottom:15|legheight-toptobottom:8|weightcapacity:700|overallwidth-sidetoside:54|producttype : bed frame|overalllength-headtotoe:80|boxspringrequired : no|headboardbracketcompatible : no,2659.0,4.5,1676.0,ryland platform bed frame Bed Frames|Beds
36037,adstock bed frame,Bed Frames,,,mattresssize : twin|overallproductweight:28.6|weightcapacity:250|clearancefromfloortoundersideofbed:12.7|color : black|levelofassembly : partial assembly|overallheight-toptobottom:34.8|heightprofile : standard profile|overallwidth-sidetoside:36|materialdetails : steel|overalllength-headtotoe:77.5|producttype : platform bed|casters : no|organic : no|chemicalsofconcerncompliant : no|canadaproductrestriction : no|commercialwarranty : no|adjustablerecline : no|mattressincluded : no|productwarranty : no|foldable : no|boxspringrequired : no|compositewoodproductcwp : no|headboardbracketincluded : no|cpsc-16cfr1303compliant : yes|firacertified : yes|nfpacompliant : yes|firerated : yes|adultassemblyrequired : yes|uniformpackagingandlabelingregulationsuplrcompliant : yes|textilelabellingandadvertisingregulationscrcc1551 : yes|cpsiacompliant : yes|scscertified : yes|countryoforigin : china|material : metal|supplierintendedandapproveduse : residential use,2.0,5.0,2.0,adstock bed frame Bed Frames
40213,delussey bee happy coir 28 in . x 16 in . non-slip outdoor door mat,Doormats,Rugs / Doormats,"welcoming guests by the front door while catching mud , dirt , and debris from the soles of our shoes , doormats are essential for any abode . machine-made in india , this all-weather door mat is constructed from coir with a rubber backing for helping keep it in place . it features a bumblebee motif with hues of black , yellow , white , and beige , and measures 16 '' w x 28 '' l , making it ideal for a quick sweep of the feet while adding a little curb appeal to your home .",cleaningmethod : garden hose|shape : rectangle|producttype : door mat|seasonaltheme : not seasonal|overallproductweight:3.33|location : outdoor|primarymaterial : coir|backingmaterial : rubber|pattern : no pattern and not solid color|overalllength-endtoend:28|text : other text|countryoforigin : india|color : black/brown|overallwidth-fronttoback:16|theme : other|constructiontype : machine made|holidayoccasion : no holiday|border : no|commercialorresidentialcertifications : no|licensedproduct : no|certifications : no|non-slipbacking : yes|californiaproposition65warningrequired : yes|allweather : yes,37.0,4.5,24.0,delussey bee happy coir 28 in . x 16 in . non-slip outdoor door mat Doormats
28897,jabraylon faux leather upholstered dining chair in black,Dining Chairs,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Chairs,"the sturdy frame is supported by four sturdy legs , which can keep your dining chair balanced and can support a maximum weight of 220 pounds . moreover , these sturdy metal feet have been powder coated to extend their service life .",seatheight-floortoseat:18.5|upholsteryfillmaterial : faux leather|producttype : side chair|dsprimaryproductstyle : modern|estimatedtimetosetup:15|weightcapacity:220|backstyle : solid back|overallproductweight:39|mainmaterial : upholstered|warrantylength:30 days|seatdepth-fronttoback:20.47|overallheight-toptobottom:38.18|dssecondaryproductstyle : ultra-modern|overalldepth-fronttoback:20.47|productcare : clean with a damp cloth & dry immediately|upholsterymaterial : faux leather|overallwidth-sidetoside:16.92|seatwidth-sidetoside:16.92|numberofchairsincluded:4|levelofassembly : partial assembly|maincolor : black|legcolor : black|suggestednumberofpeopleforassemblyinstall:1|nailheadtrim : no|ista1acertified : no|commercialwarranty : no|swivel : no|canadaproductrestriction : no| : no|usdaorganicnopcertified : no|doublerubtested : no|caltb117-2013compliant : no|gsaapproved : no|armsincluded : no|foldable : no|ansibifmax54loungepublicseating : no|oeko-texcertified : no|arms : no|uniformpackagingandlabelingregulationsuplrcompliant : no|stackable : no|containsflameretardantmaterials : no|gots50globalorganictextilestandardcompliant : no|productwarranty : yes|chairsincluded : yes|adultassemblyrequired : yes|stainresistant : yes|upholstered : yes|waterresistant : yes|legmaterial : metal|fullorlimitedwarranty : limited|purposefuldistressingtype : no distressing|supplierintendedandapproveduse : residential use|naturalvariationtype : no natural variation,,,,jabraylon faux leather upholstered dining chair in black Dining Chairs
343,multi-functional manual noodle machine dumpling skin maker kitchen equipment .,Pasta Makers & Accessories,Kitchen & Tabletop / Kitchen Utensils & Tools / Kitchen Gadgets / Pasta Makers & Accessories,"professional pasta maker , multi-functional manual noodle machine , pasta dumpling skin maker machine dough slicer pasta roller machine for home restaurant commercial .",electricormanual : manual|primarymaterial : stainless steel|producttype : pasta maker|productcare : dishwasher safe removable parts|dsmetallic : steel|overallproductweight:29|pastatype : vermicelli|color : red|reasonforrestriction : |warrantylength:90 days| : no|nemacertified : no|recipebookincluded : no|cullisted : no|csacertified : no|etllisted : no|attachmentsincluded : no|uniformpackagingandlabelingregulationsuplrcompliant : no|ullisted : no|cleaningbrushincluded : no|cetllisted : no|canadaproductrestriction : no|bpafree : no|productwarranty : yes|adjustablethickness : yes|commercialwarranty : yes|fullorlimitedwarranty : limited|supplierintendedandapproveduse : residential use,1.0,5.0,1.0,multi-functional manual noodle machine dumpling skin maker kitchen equipment . Pasta Makers & Accessories
32257,latina 10 ft. w x 10 ft. d aluminum pergola with canopy,Pergolas,Outdoor / Outdoor Shades / Pergolas / Metal Pergolas,"whether it 's to shade your dining table from the sun or avoid a sudden rain shower , the latina freestanding retractable pergola will be a sturdy and attractive addition to your garden . manufactured from high-quality powder-coated aluminum , the substantial upright posts carry a retractable fabric pergola that can be removed for winter storage . this square freestanding pergola will look elegant in your backyard or garden with its gunmetal gray finish .",postwidth-sidetoside:4|style : modern & contemporary|windrating:30|framefinish : gray|weatherresistantdetails : weather resistant finish|warrantydetails:1 year limited warranty against manufacturing defects|postheight-toptobottom:7.7|warrantylength:1 year|framematerial : aluminum|countryoforigin : united kingdom|framematerialdetails : aluminum|roofstyle : flat|canopymaterial : polyester|canopycolor : taupe|installationtype : freestanding|overallproductweight:75|shape : rectangular|installationtype : anchored|compatibleinstallationsurfaces : wood ( patio/deck ) |overallheight-toptobottom:92.32|overalldepth-fronttoback:118.08|framefinish : taupe|footprintdepth-fronttoback:9.8|overallwidth-sidetoside:118.08|postdepth-fronttoback:2|year-rounduse : no|anchormountingmaterialsincluded : no|planterincluded : no| : no|warpresistant : no|foundationmaterialsincluded : no|crackresistant : no|retractablecanopy : no|benchincluded : no|archkitincluded : no|faderesistant : yes|firepitcompatible : yes|foundationrequired : yes|shadekitincluded : yes|waterresistant : yes|productwarranty : yes|canopyincluded : yes|weatherresistant : yes|postsincluded : yes|providesraincover : yes|installationrequired : yes|rustresistant : yes|powdercoatedfinish : yes|adultassemblyrequired : yes|uvresistant : yes|fullorlimitedwarranty : limited|purposefuldistressingtype : no distressing,70.0,4.0,50.0,latina 10 ft. w x 10 ft. d aluminum pergola with canopy Pergolas
